"","participant_private_id","testexpt","SF","A"
"1",1531487,"low",80,80
"2",1531520,"low",90,90
"3",1531534,"low",4,4
"4",1531551,"low",85,95
"5",1531557,"low",99,99
"6",1531554,"low",50,40
"7",1531532,"low",100,100
"8",1531574,"low",5,5
"9",1531592,"low",90,100
"10",1531613,"low",100,100
"11",1531620,"low",100,100
"12",1531625,"low",60,60
"13",1531643,"low",50,100
"14",1531663,"low",95,100
"15",1531666,"low",0,2
"16",1531670,"low",20,50
"17",1531591,"low",99,100
"18",1531691,"low",90,93
"19",1531702,"low",10,10
"20",1531712,"low",40,40
"21",1531720,"low",80,100
"22",1531715,"low",2,1
"23",1531723,"low",60,20
"24",1531742,"low",70,70
"25",1531739,"low",80,80
"26",1531748,"low",35,35
"27",1532226,"low",70,82
"28",1531494,"low",100,100
"29",1531503,"low",35,45
"30",1531522,"low",97,98
"31",1531528,"low",75,100
"32",1531537,"low",85,80
"33",1531560,"low",100,100
"34",1531569,"low",50,100
"35",1531572,"low",100,100
"36",1531585,"low",50,50
"37",1531600,"low",10,5
"38",1531615,"low",75,90
"39",1531626,"low",15,50
"40",1531645,"low",2,2
"41",1531657,"low",80,80
"42",1531654,"low",50,50
"43",1531669,"low",50,50
"44",1531677,"low",100,100
"45",1531693,"low",75,75
"46",1531696,"low",60,80
"47",1531680,"low",25,25
"48",1531706,"low",90,90
"49",1531718,"low",20,20
"50",1531722,"low",75,75
"51",1531736,"low",70,40
"52",1531735,"low",100,100
"53",1531731,"low",35,75
"54",1531593,"low",100,100
"55",1532152,"low",100,100
"56",1532209,"low",75,95
"57",1531488,"low",98,100
"58",1531518,"low",98,100
"59",1531542,"low",85,75
"60",1531550,"low",80,80
"61",1531556,"low",95,100
"62",1531566,"low",75,85
"63",1531581,"low",65,70
"64",1531588,"low",100,100
"65",1531607,"low",100,100
"66",1531628,"low",60,95
"67",1531632,"low",50,60
"68",1531644,"low",50,60
"69",1531640,"low",15,15
"70",1531665,"low",99,100
"71",1531671,"low",3,3
"72",1531684,"low",80,85
"73",1531692,"low",60,50
"74",1531698,"low",100,100
"75",1531704,"low",95,90
"76",1531709,"low",80,80
"77",1531740,"low",95,95
"78",1531745,"low",100,100
"79",1531744,"low",3,3
"80",1531751,"low",70,70
"81",1532160,"low",60,50
"82",1532271,"low",70,50
"83",1531474,"low",5,5
"84",1531504,"low",55,55
"85",1531536,"low",60,65
"86",1531544,"low",50,75
"87",1531555,"low",100,100
"88",1531561,"low",35,60
"89",1531571,"low",90,100
"90",1531586,"low",35,55
"91",1531590,"low",5,10
"92",1531605,"low",35,35
"93",1531622,"low",25,25
"94",1531621,"low",98,100
"95",1531639,"low",100,100
"96",1531638,"low",100,100
"97",1531647,"low",100,100
"98",1531664,"low",75,70
"99",1531679,"low",30,10
"100",1531688,"low",95,95
"101",1531695,"low",50,50
"102",1531697,"low",20,40
"103",1531716,"low",100,100
"104",1531725,"low",56,78
"105",1531733,"low",50,100
"106",1531741,"low",70,70
"107",1531738,"low",70,80
"108",1531721,"low",100,100
"109",1531734,"low",100,100
"110",1532157,"low",60,60
"111",1532158,"low",60,60
"112",1532309,"low",45,60
"113",1690708,"high",78,90
"114",1690684,"high",60,65
"115",1690668,"high",40,40
"116",1690661,"high",5,5
"117",1690644,"high",95,95
"118",1690623,"high",25,25
"119",1690607,"high",47,40
"120",1532220,"high",57,78
"121",1532178,"high",75,70
"122",1531909,"high",30,30
"123",1531986,"high",80,100
"124",1531984,"high",65,70
"125",1531969,"high",85,85
"126",1531942,"high",40,50
"127",1531931,"high",30,50
"128",1531929,"high",10,3
"129",1531900,"high",100,100
"130",1531911,"high",95,95
"131",1531884,"high",4,4
"132",1531880,"high",10,20
"133",1531854,"high",100,100
"134",1531845,"high",18,18
"135",1531822,"high",70,70
"136",1531826,"high",50,65
"137",1531795,"high",75,80
"138",1531783,"high",25,25
"139",1531699,"high",20,20
"140",1690957,"high",75,80
"141",1531656,"high",50,50
"142",1531732,"high",2,5
"143",1531785,"high",50,50
"144",1531812,"high",10,10
"145",1531819,"high",40,30
"146",1531844,"high",5,5
"147",1531847,"high",40,40
"148",1531859,"high",65,70
"149",1531875,"high",70,70
"150",1531883,"high",1,5
"151",1531907,"high",40,40
"152",1531940,"high",45,30
"153",1531951,"high",20,20
"154",1531973,"high",50,50
"155",1531975,"high",30,25
"156",1531989,"high",60,50
"157",1531987,"high",50,75
"158",1532183,"high",20,30
"159",1532218,"high",60,60
"160",1690573,"high",60,75
"161",1690608,"high",65,50
"162",1690642,"high",10,10
"163",1690646,"high",45,80
"164",1690670,"high",80,100
"165",1690676,"high",45,45
"166",1690690,"high",15,20
"167",1690695,"high",50,50
"168",1690946,"high",50,50
"169",1531612,"high",60,80
"170",1531705,"high",25,25
"171",1531804,"high",30,20
"172",1531820,"high",95,100
"173",1531834,"high",65,70
"174",1531840,"high",50,50
"175",1531864,"high",20,30
"176",1531873,"high",50,50
"177",1531879,"high",80,100
"178",1531881,"high",15,20
"179",1531914,"high",20,20
"180",1531932,"high",30,40
"181",1531933,"high",7,7
"182",1531962,"high",100,100
"183",1531980,"high",60,60
"184",1531983,"high",100,100
"185",1531982,"high",30,40
"186",1532543,"high",10,10
"187",1690598,"high",90,94
"188",1690626,"high",3,3
"189",1690640,"high",75,75
"190",1690649,"high",40,50
"191",1690675,"high",100,100
"192",1690674,"high",20,20
"193",1690680,"high",60,100
"194",1690699,"high",82,90
"195",1690704,"high",50,50
"196",1531634,"high",60,50
"197",1531765,"high",40,40
"198",1531778,"high",90,98
"199",1531797,"high",65,60
"200",1531824,"high",25,30
"201",1531851,"high",3,3
"202",1531862,"high",75,75
"203",1531877,"high",70,79
"204",1531878,"high",55,50
"205",1531890,"high",100,100
"206",1531941,"high",50,50
"207",1531944,"high",70,80
"208",1531968,"high",10,30
"209",1531985,"high",60,60
"210",1531988,"high",80,70
"211",1532175,"high",0,0
"212",1690611,"high",85,80
"213",1690629,"high",30,30
"214",1690666,"high",65,75
"215",1690683,"high",3,30
"216",1690691,"high",5,20
"217",1690696,"high",90,95
"218",1690700,"high",100,100
"219",1690645,"high",70,78
"220",1690606,"high",75,75
"221",1531918,"high",66,66
"222",1531730,"high",50,50
"223",1532550,"high",40,60
